,AAPL,AMZN,GOOGL,IWM,META,MSFT,NVDA,QQQ,SPY,TSLA
2025-09-22,256.0799865722656,227.6300048828125,252.52999877929688,244.38999938964844,765.1599731445312,514.4500122070312,183.61000061035156,602.2000122070312,666.8400268554688,434.2099914550781
2025-09-23,254.42999267578125,220.7100067138672,251.66000366210938,243.83999633789062,755.4000244140625,509.2300109863281,178.42999267578125,598.2000122070312,663.2100219726562,425.8500061035156
2025-09-24,252.30999755859375,220.2100067138672,247.13999938964844,241.60000610351562,760.6599731445312,510.1499938964844,176.97000122070312,596.0999755859375,661.0999755859375,442.7900085449219
2025-09-25,256.8699951171875,218.14999389648438,245.7899932861328,239.2899932861328,748.9099731445312,507.0299987792969,177.69000244140625,593.530029296875,658.0499877929688,423.3900146484375
2025-09-26,255.4600067138672,219.77999877929688,246.5399932861328,241.33999633789062,743.75,511.4599914550781,178.19000244140625,595.969970703125,661.8200073242188,440.3999938964844
2025-09-29,254.42999267578125,222.1699981689453,244.0500030517578,241.6199951171875,743.4000244140625,514.5999755859375,181.85000610351562,598.72998046875,663.6799926757812,443.2099914550781
2025-09-30,254.6300048828125,219.57000732421875,243.10000610351562,241.9600067138672,734.3800048828125,517.9500122070312,186.5800018310547,600.3699951171875,666.1799926757812,444.7200012207031
2025-10-01,255.4499969482422,220.6300048828125,244.89999389648438,242.49000549316406,717.3400268554688,519.7100219726562,187.24000549316406,603.25,668.4500122070312,459.4599914550781
2025-10-02,257.1300048828125,222.41000366210938,245.69000244140625,244.02000427246094,727.0499877929688,515.739990234375,188.88999938964844,605.72998046875,669.219970703125,436.0
2025-10-03,258.0199890136719,219.50999450683594,245.35000610351562,245.8300018310547,710.5599975585938,517.3499755859375,187.6199951171875,603.1799926757812,669.2100219726562,429.8299865722656
2025-10-06,256.69000244140625,220.89999389648438,250.42999267578125,246.80999755859375,715.6599731445312,528.5700073242188,185.5399932861328,607.7100219726562,671.6099853515625,453.25
2025-10-07,256.4800109863281,221.77999877929688,245.75999450683594,244.16000366210938,713.0800170898438,523.97998046875,185.0399932861328,604.510009765625,669.1199951171875,433.0899963378906
2025-10-08,258.05999755859375,225.22000122070312,244.6199951171875,246.72000122070312,717.8400268554688,524.8499755859375,189.11000061035156,611.4400024414062,673.1099853515625,438.69000244140625
2025-10-09,254.0399932861328,227.74000549316406,241.52999877929688,245.1300048828125,733.510009765625,522.4000244140625,192.57000732421875,610.7000122070312,671.1599731445312,435.5400085449219
2025-10-10,245.27000427246094,216.3699951171875,236.57000732421875,237.7899932861328,705.2999877929688,510.9599914550781,183.16000366210938,589.5,653.02001953125,413.489990234375
2025-10-13,247.66000366210938,220.07000732421875,244.14999389648438,244.41000366210938,715.7000122070312,514.0499877929688,188.32000732421875,602.010009765625,663.0399780273438,435.8999938964844
2025-10-14,247.77000427246094,216.38999938964844,245.4499969482422,247.89999389648438,708.6500244140625,513.5700073242188,180.02999877929688,598.0,662.22998046875,429.239990234375
2025-10-15,249.33999633789062,215.57000732421875,251.02999877929688,250.3300018310547,717.5499877929688,513.4299926757812,179.8300018310547,602.219970703125,665.1699829101562,435.1499938964844
2025-10-16,247.4499969482422,214.47000122070312,251.4600067138672,245.05999755859375,712.0700073242188,511.6099853515625,181.80999755859375,599.989990234375,660.6400146484375,428.75
2025-10-17,252.2899932861328,213.0399932861328,253.3000030517578,243.41000366210938,716.9199829101562,513.5800170898438,183.22000122070312,603.9299926757812,664.3900146484375,439.30999755859375
2025-10-20,262.239990234375,216.47999572753906,256.54998779296875,248.16000366210938,732.1699829101562,516.7899780273438,182.63999938964844,611.5399780273438,671.2999877929688,447.42999267578125
2025-10-21,262.7699890136719,222.02999877929688,250.4600067138672,246.99000549316406,733.27001953125,517.6599731445312,181.16000366210938,611.3800048828125,671.2899780273438,442.6000061035156
2025-10-22,258.45001220703125,217.9499969482422,251.69000244140625,243.33999633789062,733.4099731445312,520.5399780273438,180.27999877929688,605.489990234375,667.7999877929688,438.9700012207031
2025-10-23,259.5799865722656,221.08999633789062,253.0800018310547,246.4199981689453,734.0,520.5599975585938,182.16000366210938,610.5800170898438,671.760009765625,448.9800109863281
2025-10-24,262.82000732421875,224.2100067138672,259.9200134277344,249.42999267578125,738.3599853515625,523.6099853515625,186.25999450683594,617.0999755859375,677.25,433.7200012207031
2025-10-27,268.80999755859375,226.97000122070312,269.2699890136719,250.3000030517578,750.8200073242188,531.52001953125,191.49000549316406,628.0900268554688,685.239990234375,452.4200134277344
2025-10-28,269.0,229.25,267.4700012207031,248.9600067138672,751.4400024414062,542.0700073242188,201.02999877929688,632.9199829101562,687.0599975585938,460.54998779296875
2025-10-29,269.70001220703125,230.3000030517578,274.57000732421875,246.83999633789062,751.6699829101562,541.5499877929688,207.0399932861328,635.77001953125,687.3900146484375,461.510009765625
2025-10-30,271.3999938964844,222.86000061035156,281.4800109863281,244.85000610351562,666.469970703125,525.760009765625,202.88999938964844,626.0499877929688,679.8300170898438,440.1000061035156
2025-10-31,270.3699951171875,244.22000122070312,281.19000244140625,246.22999572753906,648.3499755859375,517.8099975585938,202.49000549316406,629.0700073242188,682.0599975585938,456.55999755859375
2025-11-03,269.04998779296875,254.0,283.7200012207031,245.44000244140625,637.7100219726562,517.030029296875,206.8800048828125,632.0800170898438,683.3400268554688,468.3699951171875
2025-11-04,270.0400085449219,249.32000732421875,277.5400085449219,241.1999969482422,627.3200073242188,514.3300170898438,198.69000244140625,619.25,675.239990234375,444.260009765625
2025-11-05,270.1400146484375,250.1999969482422,284.30999755859375,244.67999267578125,635.9500122070312,507.1600036621094,195.2100067138672,623.280029296875,677.5800170898438,462.07000732421875
